word,vector
deeper,"[1.02552772e-03 2.20856667e-02 9.91092801e-01 2.16782093e-03
 7.43496180e-01 1.11579895e-04 9.86153483e-01 9.48891401e-01
 1.64779127e-02 2.52410769e-03 9.87676263e-01 9.75394130e-01
 6.32682443e-03 5.36138117e-01 3.09348106e-05 8.55446577e-01
 1.73562765e-03 3.84165496e-01 4.53293324e-05 7.31925964e-01
 9.99079227e-01 9.99582410e-01 9.99871969e-01 3.49197835e-01
 9.94710982e-01]"
down,"[4.9671531e-04 1.3259500e-02 9.9000251e-01 1.1395216e-03 8.9726388e-01
 3.9973855e-04 9.8168862e-01 8.5928965e-01 2.4319172e-02 1.3591349e-03
 9.9183959e-01 9.7642624e-01 3.9126873e-03 7.4443692e-01 2.7072430e-04
 9.7165489e-01 1.6887784e-03 3.7075871e-01 1.3548136e-04 7.5328028e-01
 9.9591249e-01 9.9870926e-01 9.9965465e-01 6.8006158e-02 9.9080294e-01]"
syndrome,"[9.96142626e-04 1.12795532e-02 9.95200336e-01 2.18436122e-03
 7.87253499e-01 2.08556652e-04 9.84425962e-01 9.67443347e-01
 7.89703131e-02 8.20919871e-03 9.79345560e-01 9.64392602e-01
 1.03958845e-02 6.21892452e-01 3.01390886e-04 8.18720698e-01
 9.54747200e-04 6.26971126e-01 6.79105520e-04 7.36376703e-01
 9.92637992e-01 9.99185741e-01 9.98608947e-01 9.69696045e-02
 9.91221428e-01]"
russian,"[1.8306077e-03 5.2914023e-03 9.9615270e-01 3.8629770e-04 5.8029211e-01
 3.8853288e-04 9.9555504e-01 9.5149505e-01 1.3359165e-01 8.5819364e-03
 9.9754643e-01 9.6996808e-01 8.2952678e-03 2.0809883e-01 1.7547905e-03
 9.7733605e-01 1.6011000e-03 3.0045283e-01 1.3867021e-04 8.7083066e-01
 9.9744475e-01 9.9839449e-01 9.9956286e-01 7.1336836e-02 9.9313176e-01]"
and,"[9.3427300e-04 1.2576789e-02 9.9494588e-01 1.3873875e-03 6.3178432e-01
 5.4642558e-04 9.9671316e-01 9.5933563e-01 1.6969752e-01 6.5432787e-03
 9.7132289e-01 9.0616834e-01 2.3405075e-02 4.9783140e-01 1.8875599e-03
 6.9306022e-01 2.4517477e-03 4.0815744e-01 1.3858080e-03 9.1677070e-01
 9.8451138e-01 9.9310088e-01 9.9869263e-01 6.1453223e-02 9.7489393e-01]"
speak,"[6.5046549e-04 6.9710612e-03 9.9807823e-01 1.6877353e-03 7.5106448e-01
 2.2482872e-04 9.9475127e-01 9.2592108e-01 3.1087658e-01 2.6492983e-02
 9.9250352e-01 8.2157654e-01 3.6219954e-03 5.8071256e-01 1.1147857e-03
 8.8095176e-01 4.1974187e-03 2.3980808e-01 2.4512112e-03 8.9039040e-01
 9.8320693e-01 9.9875534e-01 9.9914175e-01 6.1799675e-02 9.8394620e-01]"
indian,"[2.8803945e-04 8.3436966e-03 9.9170887e-01 7.2851777e-04 8.9217538e-01
 1.9082427e-04 9.8961842e-01 9.4876969e-01 2.6976764e-02 1.5319884e-03
 9.7199720e-01 9.5579541e-01 2.9164553e-03 7.2986215e-01 1.7066300e-03
 9.2559648e-01 1.7639697e-03 6.6796136e-01 2.3686886e-04 4.4119644e-01
 9.9737722e-01 9.9972260e-01 9.9967587e-01 6.8868995e-02 9.9637449e-01]"
both,"[1.0958314e-04 1.4694512e-02 9.8976696e-01 8.2591176e-04 6.8408769e-01
 1.4781952e-04 9.9823588e-01 9.9469113e-01 2.1904528e-02 3.6357641e-03
 9.9384326e-01 9.7428739e-01 2.7636170e-02 3.2549196e-01 2.3146421e-02
 9.1270012e-01 3.8264453e-02 4.2200416e-01 8.7583065e-03 5.2677053e-01
 9.7737563e-01 9.9583507e-01 9.9655056e-01 8.5744858e-02 9.4356871e-01]"
disgusting,"[2.2222698e-03 4.9067348e-02 9.4744897e-01 2.8017163e-04 4.1991794e-01
 2.5071204e-03 9.9866802e-01 8.9221430e-01 6.9672823e-02 6.1105490e-03
 9.7619367e-01 9.4217277e-01 3.5752952e-03 2.5400168e-01 1.7599165e-03
 9.4736004e-01 6.5289140e-03 1.2915736e-01 5.7816505e-05 8.7536263e-01
 9.9028587e-01 9.9631041e-01 9.9732101e-01 1.4493525e-02 9.8372936e-01]"
go,"[2.1755695e-04 2.5753766e-02 9.9641812e-01 4.7841668e-04 2.6808417e-01
 7.1078539e-05 9.9366504e-01 9.1961360e-01 1.3567081e-01 7.5709820e-04
 9.9655622e-01 9.7749341e-01 5.5049956e-03 7.7076447e-01 1.1192262e-03
 9.7633851e-01 2.3455918e-03 2.1787369e-01 7.1644783e-05 8.3498955e-01
 9.9749726e-01 9.9780786e-01 9.9971366e-01 4.9256951e-02 9.7266352e-01]"
