word,vector
better,"[5.9559941e-04 8.7193847e-03 9.7240812e-01 8.8033080e-04 5.7032055e-01
 1.3387203e-04 9.9779129e-01 9.3803203e-01 1.3765067e-02 1.4156699e-03
 9.9452710e-01 9.8547494e-01 8.2646608e-03 4.5774108e-01 8.2063675e-04
 9.2439991e-01 2.2491515e-03 3.3684051e-01 1.4632940e-04 5.3300387e-01
 9.9949580e-01 9.9818510e-01 9.9932015e-01 6.4682990e-02 9.9179971e-01]"
without,"[1.10566616e-04 1.74407363e-02 9.61975932e-01 4.04030085e-04
 4.09230709e-01 6.70254230e-05 9.82649446e-01 9.06544209e-01
 1.39291286e-02 6.14404678e-04 9.67990637e-01 9.86241937e-01
 4.99546528e-03 3.99179220e-01 9.27925110e-04 8.77366126e-01
 3.28406692e-03 4.04566050e-01 3.73423100e-05 3.37673783e-01
 9.90653694e-01 9.94652390e-01 9.99728084e-01 4.30513918e-02
 9.74243283e-01]"
stole,"[1.1394322e-03 6.1460465e-02 9.9354172e-01 2.8461218e-04 2.7108762e-01
 1.2731254e-03 9.8887789e-01 9.5492566e-01 2.3398608e-02 2.3171902e-03
 9.9088025e-01 9.5962721e-01 4.0441126e-02 3.9135164e-01 7.4356794e-04
 9.0199369e-01 7.2515011e-04 5.3065556e-01 1.0460615e-04 7.7631068e-01
 9.9158090e-01 9.9798781e-01 9.9921513e-01 2.5309026e-02 9.9345070e-01]"
egyptians,"[4.2725205e-03 9.0477467e-03 9.9630487e-01 9.9450350e-05 2.5278768e-01
 5.7876110e-05 9.9523526e-01 9.5966721e-01 9.5823228e-02 3.6385655e-04
 9.9798751e-01 9.7040069e-01 1.5434027e-03 7.2753286e-01 1.0971129e-03
 8.7535083e-01 8.3029270e-05 6.7142075e-01 3.8385391e-05 7.0092821e-01
 9.9954164e-01 9.9934661e-01 9.9841690e-01 6.9082677e-03 9.9637878e-01]"
before,"[8.6805224e-04 2.1359056e-02 9.6700084e-01 7.0446730e-04 6.9370866e-01
 3.8683414e-05 9.9952483e-01 9.9630380e-01 6.7212313e-02 2.2469163e-03
 9.9076253e-01 9.6029556e-01 3.3760190e-02 5.5536848e-01 1.7273724e-03
 7.8345668e-01 5.6174397e-04 3.4093010e-01 6.1193109e-04 7.4155521e-01
 9.9687195e-01 9.8310530e-01 9.9962652e-01 7.3665977e-02 9.9321401e-01]"
ages,"[1.3658404e-04 4.1553378e-03 9.9095595e-01 6.3630939e-04 7.3899496e-01
 1.5154481e-04 9.9869013e-01 9.9111813e-01 2.5914282e-02 5.5763125e-04
 9.9632895e-01 9.7606194e-01 4.3407887e-02 4.6486020e-01 1.3069510e-03
 9.0018022e-01 6.8180263e-03 5.7518345e-01 4.0733814e-04 7.7450860e-01
 9.9328858e-01 9.9864399e-01 9.9864000e-01 1.7869174e-02 9.8362911e-01]"
wasnt,"[1.81776285e-03 2.85800099e-02 9.63055432e-01 1.79919600e-03
 8.51296186e-01 1.09523535e-04 9.99103427e-01 9.95629311e-01
 6.55539036e-02 1.15678608e-02 9.78443921e-01 9.48292971e-01
 6.36479259e-03 3.50949764e-01 5.10990620e-04 8.93875003e-01
 2.04440951e-03 2.67199785e-01 4.41521406e-04 7.80494690e-01
 9.98415232e-01 9.99522448e-01 9.99022722e-01 7.07890391e-02
 9.92499709e-01]"
ruins,"[1.2380183e-03 8.4351897e-03 9.5515871e-01 1.1730194e-03 9.2244482e-01
 1.9803643e-04 9.9891233e-01 9.9702585e-01 1.7441154e-02 1.0623187e-02
 9.8656917e-01 9.0763336e-01 3.0852586e-02 3.1712931e-01 1.6129017e-04
 8.7026024e-01 5.1429868e-04 1.9322449e-01 3.2445788e-04 9.0310431e-01
 9.9028087e-01 9.9971068e-01 9.9936807e-01 2.4268213e-01 9.8429906e-01]"
everything,"[8.0242753e-04 1.4604002e-02 9.6383178e-01 7.1781874e-04 7.6224566e-01
 1.1566281e-04 9.9890631e-01 9.9007618e-01 4.4710487e-02 1.1988848e-02
 9.9644411e-01 9.5811450e-01 8.2596242e-03 3.7211317e-01 2.9821098e-03
 8.2844597e-01 1.7423928e-03 4.5507392e-01 3.0949712e-04 6.9004482e-01
 9.8961651e-01 9.9741954e-01 9.9965239e-01 1.1084047e-01 9.9769509e-01]"
peoplewhite,"[2.3639202e-04 1.2030661e-02 9.9236035e-01 7.6478720e-04 3.8523582e-01
 1.4951825e-04 9.9678600e-01 9.4024801e-01 5.5457443e-02 2.9224455e-03
 9.8357296e-01 8.7663841e-01 4.3301284e-03 4.4447899e-01 1.8108487e-03
 6.8658704e-01 7.4863434e-05 6.8542486e-01 8.9794397e-05 7.4901962e-01
 9.9905992e-01 9.9878001e-01 9.9521053e-01 9.6446157e-02 9.9300796e-01]"
dicks,"[5.34355640e-05 5.20664454e-03 9.91003811e-01 6.80208206e-04
 3.01937640e-01 1.02579594e-04 9.67723250e-01 9.86928701e-01
 2.43987739e-02 3.24693322e-03 9.77123559e-01 9.88073587e-01
 2.44131982e-02 3.92173797e-01 9.64039564e-03 9.73185062e-01
 9.80913639e-04 6.28149152e-01 1.53928995e-03 7.19720900e-01
 9.81431484e-01 9.98938859e-01 9.99218822e-01 8.85087848e-02
 9.79188085e-01]"
shape,"[1.5953183e-04 1.0876596e-02 9.8524189e-01 9.8168850e-05 8.0259788e-01
 9.5203519e-04 9.9809229e-01 9.5186973e-01 1.0984689e-02 1.7407537e-03
 9.7633886e-01 9.6847320e-01 9.9439621e-03 4.9236873e-01 4.8029423e-04
 9.6696150e-01 1.1244118e-03 2.1257198e-01 5.3346157e-05 7.2089314e-01
 9.9458432e-01 9.9822575e-01 9.9974239e-01 3.3285737e-02 9.8889625e-01]"
hips,"[1.9297004e-04 2.4609059e-02 9.8010737e-01 4.0045381e-04 9.3335211e-01
 1.3387799e-03 9.9881941e-01 9.8426974e-01 5.9781075e-03 3.3825636e-03
 9.8168576e-01 9.6809250e-01 9.6428096e-03 4.5506468e-01 2.1964312e-04
 9.5045471e-01 1.2717247e-03 3.1658927e-01 1.8140674e-04 4.0242290e-01
 9.9728489e-01 9.9858868e-01 9.9985361e-01 1.0135913e-01 9.9186027e-01]"
booty,"[3.45766544e-04 8.92049074e-03 9.92184401e-01 9.43809748e-04
 8.13860297e-01 9.26792622e-04 9.99042451e-01 9.94128227e-01
 1.44250393e-02 1.60029531e-02 9.88688946e-01 8.95576000e-01
 1.43381655e-02 6.48405850e-01 2.35825777e-04 8.07686090e-01
 9.02444124e-04 2.44980663e-01 1.47074461e-03 8.35253894e-01
 9.91427183e-01 9.99571979e-01 9.99646127e-01 1.82675630e-01
 9.96739626e-01]"
plastic,"[2.07036734e-04 1.03107989e-02 9.94232059e-01 3.09693813e-03
 9.06463265e-01 3.59117985e-05 9.96210814e-01 9.16042507e-01
 1.10786706e-01 1.44250095e-02 9.81093526e-01 9.15343881e-01
 3.59404087e-03 6.78516388e-01 4.28506732e-03 8.31317306e-01
 1.76757574e-03 3.09507608e-01 2.34711170e-03 7.44525909e-01
 9.98522997e-01 9.99301195e-01 9.98081326e-01 2.84832120e-02
 9.93084490e-01]"
surgery,"[1.0496080e-03 1.7441362e-02 9.9427342e-01 3.7175417e-03 5.9046233e-01
 9.1451406e-04 9.8200423e-01 7.8680301e-01 8.4295511e-02 1.0378569e-02
 8.8526404e-01 8.9678848e-01 7.8323781e-03 2.4563560e-01 5.2049756e-04
 5.6085503e-01 2.6721358e-03 5.7865936e-01 4.7063828e-04 7.5148571e-01
 9.9420750e-01 9.9934638e-01 9.9810374e-01 3.6859840e-02 9.8454654e-01]"
mother,"[2.80386209e-03 1.30672157e-02 9.95763659e-01 1.86264515e-04
 3.19376707e-01 9.11831856e-04 9.98963356e-01 8.47062290e-01
 1.04010075e-01 1.39468908e-03 9.98402238e-01 9.52957153e-01
 1.04184151e-02 6.24370039e-01 3.11106443e-04 8.61800551e-01
 2.33465433e-03 1.31977856e-01 6.02006912e-06 8.96487355e-01
 9.70206499e-01 9.88980532e-01 9.99252439e-01 3.25638354e-02
 9.55598354e-01]"
brought,"[3.4144521e-04 2.1339983e-02 9.9385321e-01 1.2084842e-04 2.9581672e-01
 4.4324994e-04 9.9958754e-01 8.7839770e-01 1.5141043e-01 5.6605935e-03
 9.9757373e-01 9.8808992e-01 7.2679222e-03 4.2179686e-01 7.9643726e-04
 9.8005366e-01 7.4943900e-04 3.4022206e-01 9.2387199e-07 8.5467982e-01
 9.9860901e-01 9.7763902e-01 9.9976289e-01 4.8674315e-02 9.9620587e-01]"
skin,"[1.02221966e-04 3.38023901e-03 9.97915983e-01 1.54465437e-04
 5.61263859e-01 6.89625740e-05 9.95958209e-01 9.85027313e-01
 7.69493580e-02 3.30260396e-03 9.91142333e-01 9.78872955e-01
 4.84848022e-03 4.60062265e-01 3.20214033e-03 9.77158666e-01
 8.06927681e-04 4.97296810e-01 1.07437372e-04 9.31267023e-01
 9.98147726e-01 9.99602437e-01 9.98457313e-01 9.99382138e-03
 9.94883120e-01]"
cancer,"[1.3393164e-04 7.8476369e-03 9.9591529e-01 5.4299831e-05 4.6311736e-01
 2.1012723e-03 9.9320436e-01 9.0672398e-01 2.1260738e-02 9.8320544e-03
 9.8841673e-01 8.8589263e-01 1.5006989e-02 1.5994179e-01 2.2752285e-03
 9.2684305e-01 7.8156590e-04 3.4695637e-01 4.9382448e-05 9.1512680e-01
 9.9116325e-01 9.9713159e-01 9.9982965e-01 5.5933535e-02 9.9350989e-01]"
america,"[7.0056319e-04 2.9806674e-02 9.9578708e-01 8.1330538e-04 3.3740592e-01
 2.2903085e-04 9.9684823e-01 8.8464111e-01 1.4304745e-01 2.9658973e-03
 9.9608082e-01 9.6806359e-01 1.2846351e-02 3.3076692e-01 2.3751259e-03
 8.1677085e-01 1.7177165e-03 5.9377265e-01 2.7701259e-04 6.8617362e-01
 9.9724329e-01 9.9473947e-01 9.9142087e-01 9.5131695e-03 9.5844567e-01]"
learn,"[1.4590621e-03 4.0736586e-02 9.9395323e-01 1.7155707e-03 7.8880739e-01
 2.8043985e-04 9.9897051e-01 9.4388986e-01 1.9740012e-01 4.8155189e-03
 9.9909174e-01 9.6657097e-01 2.4474382e-02 5.7830685e-01 1.7998219e-03
 8.9048004e-01 8.2413554e-03 4.1327235e-01 3.8486719e-04 8.6849308e-01
 9.9451077e-01 9.5523471e-01 9.9916184e-01 2.4097145e-02 9.5670712e-01]"
some,"[1.4082491e-03 2.1007985e-02 9.7593677e-01 1.8161535e-03 5.4174519e-01
 1.7023087e-04 9.8874456e-01 8.8261282e-01 2.3923993e-02 1.9632578e-03
 9.9109530e-01 9.7031331e-01 4.3793023e-03 6.1933219e-01 2.3249686e-03
 9.2697692e-01 2.3349524e-03 2.4838591e-01 5.0351024e-04 5.9100771e-01
 9.9512303e-01 9.9589640e-01 9.9943405e-01 8.4459305e-02 9.7677016e-01]"
facts,"[5.7730079e-04 6.1302185e-03 9.9176347e-01 4.5979023e-04 4.3415380e-01
 1.2910366e-04 9.8551548e-01 8.9191437e-01 2.5305003e-02 2.9354692e-03
 9.9491942e-01 9.1359144e-01 2.3356974e-03 6.0557902e-01 4.3566525e-03
 9.5691442e-01 1.1976063e-03 1.6572294e-01 6.2584877e-04 6.0259509e-01
 9.8624986e-01 9.9855059e-01 9.9928987e-01 6.0271055e-02 9.6823990e-01]"
run,"[3.7014484e-04 2.7543396e-02 9.8777783e-01 1.2534857e-04 6.8300247e-01
 4.0382147e-05 9.9916017e-01 9.8547757e-01 2.3329347e-02 1.1222959e-03
 9.9771059e-01 9.9286693e-01 3.1168610e-02 6.4791054e-01 6.1401725e-04
 8.8911331e-01 1.0816455e-03 3.9142272e-01 6.6578388e-05 5.6523103e-01
 9.9818206e-01 9.9267042e-01 9.9919116e-01 2.0845890e-02 9.8278689e-01]"
yall,"[1.1317432e-03 1.1215895e-02 9.7152245e-01 8.2117319e-04 5.0406677e-01
 9.1850758e-05 9.9748266e-01 9.9407911e-01 1.8896550e-01 3.6980212e-03
 9.8671788e-01 9.5267135e-01 1.0614663e-02 4.0591705e-01 7.5076818e-03
 8.1277561e-01 1.0766059e-02 3.5425323e-01 4.1741133e-04 7.7009165e-01
 9.9135923e-01 9.9421716e-01 9.9565768e-01 2.1719724e-02 9.5381582e-01]"
racist,"[9.8824501e-05 6.1510205e-03 9.8987317e-01 2.1988451e-03 5.9446985e-01
 8.2403421e-05 9.9037743e-01 8.8273561e-01 8.0046713e-02 2.8155148e-03
 9.8948127e-01 9.7081232e-01 5.4298341e-03 6.3768911e-01 6.4313114e-03
 9.1177154e-01 6.9794953e-03 3.7542495e-01 5.2908063e-04 5.3965813e-01
 9.9092185e-01 9.8797286e-01 9.9740052e-01 1.3807189e-01 8.6630177e-01]"
ass,"[5.0136447e-04 1.8783182e-02 9.9151361e-01 4.4345856e-04 6.8905962e-01
 2.0796061e-04 9.8557436e-01 8.8949251e-01 3.0193716e-02 4.2251945e-03
 9.9637461e-01 9.5365870e-01 5.9802830e-03 4.3868655e-01 2.2265613e-03
 7.4665618e-01 3.1432211e-03 3.2612336e-01 1.5023351e-04 7.5608593e-01
 9.8161268e-01 9.9593592e-01 9.9908072e-01 5.0775766e-02 9.7221041e-01]"
smelly,"[1.0109842e-02 7.8735650e-03 9.9074495e-01 2.7485490e-03 4.8340935e-01
 2.0915270e-04 9.8074043e-01 8.0749899e-01 1.3941893e-01 1.5462935e-03
 9.8980236e-01 9.4227719e-01 7.8866184e-03 6.1784583e-01 1.8174648e-03
 8.5881507e-01 3.0292869e-03 3.2569903e-01 1.8481314e-03 7.4281549e-01
 9.8495460e-01 9.9119580e-01 9.9761307e-01 3.5610855e-02 9.4999969e-01]"
crackers,"[2.1985203e-02 3.6872625e-03 9.9620152e-01 6.5461695e-03 4.3629861e-01
 1.3023615e-04 9.8232788e-01 8.3563542e-01 2.1143252e-01 1.0246933e-03
 9.9182093e-01 9.5778257e-01 1.4023840e-02 7.1531767e-01 1.7217994e-03
 8.6682320e-01 2.5849640e-03 3.2051554e-01 3.0248463e-03 8.3167064e-01
 9.8626274e-01 9.8648727e-01 9.9736470e-01 2.5450855e-02 9.3571699e-01]"
dont,"[1.4179170e-02 5.4827034e-03 9.9749982e-01 5.4244399e-03 4.2458928e-01
 1.6787648e-04 9.9686581e-01 9.8224604e-01 1.9717416e-01 3.7256479e-03
 9.9032712e-01 9.7294569e-01 1.7634213e-02 5.6093955e-01 1.6686618e-03
 7.9478848e-01 7.2976947e-04 2.3248577e-01 1.2815893e-03 8.8544023e-01
 9.9747396e-01 9.9475026e-01 9.9839050e-01 4.3325663e-02 9.6461201e-01]"
beat,"[1.9651353e-03 7.0067942e-03 9.5677119e-01 6.1350763e-03 1.4366338e-01
 3.5107136e-05 9.8027635e-01 9.3775988e-01 3.6897779e-02 1.7435849e-03
 9.7359681e-01 9.8243713e-01 1.0387182e-02 1.8053949e-01 1.3367832e-03
 9.1626000e-01 6.9418550e-04 3.9170891e-01 7.9014897e-04 6.1823446e-01
 9.9832439e-01 9.9218708e-01 9.9849278e-01 5.5492401e-02 9.9236941e-01]"
wan,"[1.2571216e-03 2.3238659e-03 9.9445629e-01 5.6825876e-03 6.6163570e-01
 4.1931868e-05 9.9854380e-01 8.7195265e-01 1.8760628e-01 4.0681958e-03
 9.9305785e-01 9.8237926e-01 4.6449602e-03 4.1646627e-01 4.7910213e-04
 8.6300850e-01 1.0666251e-03 1.9820943e-01 1.3417006e-04 8.6116302e-01
 9.9942398e-01 9.9468440e-01 9.9955833e-01 6.1082095e-02 9.9750972e-01]"
na,"[4.4429302e-03 3.2695234e-03 9.9207449e-01 6.6646039e-03 5.2735364e-01
 9.8824501e-05 9.9882215e-01 9.1929102e-01 1.5779510e-01 8.4712803e-03
 9.9302852e-01 9.8370832e-01 7.5273216e-03 3.7633872e-01 2.6392937e-04
 8.2092053e-01 6.3833594e-04 1.8092465e-01 7.6144934e-05 8.7106466e-01
 9.9926597e-01 9.8956633e-01 9.9943942e-01 4.6755403e-02 9.9664271e-01]"
find,"[2.14332342e-03 4.77230549e-03 9.82110500e-01 1.57520771e-02
 7.96296477e-01 4.48226929e-05 9.99522030e-01 9.50015128e-01
 8.00901055e-02 9.34460759e-03 9.75198150e-01 9.68633294e-01
 2.87747383e-02 5.02841592e-01 8.25047493e-04 7.62039661e-01
 1.47011876e-03 2.13855833e-01 1.16276741e-03 8.00739646e-01
 9.98524904e-01 9.48122561e-01 9.99104857e-01 1.07822716e-01
 9.93441701e-01]"
drop,"[2.5131404e-03 2.0083994e-02 9.8520887e-01 5.7296157e-03 6.2827027e-01
 2.8491020e-05 9.9939799e-01 9.8798025e-01 3.5917848e-02 1.4979601e-02
 9.8344648e-01 9.7517025e-01 1.5657306e-02 1.9204468e-01 4.6420991e-03
 7.8740263e-01 3.0948520e-03 2.2026324e-01 6.0278177e-04 7.7501714e-01
 9.9959743e-01 9.8078752e-01 9.9860603e-01 4.4938534e-02 9.8461390e-01]"
reason,"[6.6369772e-05 4.1286945e-03 9.7190762e-01 1.4348328e-03 5.3792316e-01
 2.9146671e-05 9.9180418e-01 9.2566544e-01 2.0268708e-02 3.4316778e-03
 9.2632246e-01 9.6355116e-01 4.5813322e-03 5.6899768e-01 2.2393763e-03
 8.0607963e-01 7.7882409e-04 6.2894642e-01 2.1648407e-04 8.1194234e-01
 9.9580091e-01 9.9847233e-01 9.9546671e-01 2.6846260e-02 9.6522206e-01]"
indians,"[1.3092160e-04 3.9162278e-02 9.6484435e-01 6.3222647e-04 8.7914169e-01
 9.9033117e-05 9.9785984e-01 9.0853453e-01 7.7273548e-03 9.3054771e-04
 9.9401391e-01 9.3544316e-01 7.2029531e-03 7.6541483e-01 6.0972571e-04
 9.1505468e-01 2.4832189e-03 4.5289624e-01 1.5011430e-04 5.1184505e-01
 9.9545550e-01 9.9673134e-01 9.9924076e-01 1.9005448e-02 9.8615766e-01]"
bashing,"[8.6495280e-04 1.6049892e-02 9.7738731e-01 4.6778321e-03 7.9822373e-01
 5.0106645e-04 9.8772091e-01 9.4659013e-01 6.6815943e-02 8.5650384e-03
 9.7385502e-01 8.2991147e-01 1.7026067e-02 6.8436205e-01 4.3085217e-04
 4.3279332e-01 6.2274635e-03 6.5410787e-01 1.1624098e-03 7.7379191e-01
 9.9178082e-01 9.8859060e-01 9.9777830e-01 9.4146490e-02 9.6341634e-01]"
hindu,"[4.8916638e-03 4.0400803e-02 9.8659718e-01 1.6750991e-03 3.5960740e-01
 9.6563101e-03 9.9553263e-01 9.3973482e-01 2.1071643e-02 5.5667758e-04
 9.9719548e-01 9.7925067e-01 1.4041990e-02 2.4179280e-01 1.2218654e-03
 9.4759041e-01 2.0961165e-02 3.4963167e-01 2.1904707e-04 5.0993574e-01
 9.7986782e-01 9.9891686e-01 9.9958241e-01 2.0691058e-01 9.9094617e-01]"
supremacists,"[6.9138408e-04 7.1033537e-03 9.8470032e-01 4.8786402e-04 6.9728839e-01
 1.8528104e-04 9.9700063e-01 9.0436006e-01 1.8922657e-02 2.3427606e-04
 9.9621898e-01 9.9458301e-01 2.9835999e-03 5.3816074e-01 1.2480915e-03
 9.8891181e-01 2.8656602e-02 1.3682762e-01 4.4062734e-04 5.1246971e-01
 9.9814200e-01 9.9849349e-01 9.9942005e-01 3.7872791e-02 9.8067886e-01]"
hate,"[1.13186240e-03 4.15650010e-03 9.86706614e-01 9.15914774e-04
 9.44277287e-01 2.49415636e-04 9.97080684e-01 9.41856444e-01
 6.10957146e-02 3.24738026e-03 9.98533130e-01 9.81454253e-01
 5.55199385e-03 4.92475450e-01 3.13839316e-03 9.79118884e-01
 1.03803575e-02 1.42418146e-01 6.42269850e-04 7.51732588e-01
 9.92244005e-01 9.92612004e-01 9.99821067e-01 6.28376007e-02
 9.78815913e-01]"
atrocities,"[5.0652027e-04 2.1996289e-02 9.8509467e-01 2.9385090e-04 6.9263273e-01
 9.6023083e-05 9.9762440e-01 9.6837455e-01 1.7406255e-02 3.9307475e-03
 9.9505395e-01 9.8228961e-01 7.1815252e-03 8.7631255e-01 2.8918087e-03
 8.9433664e-01 2.8598309e-04 5.1575065e-01 3.1131506e-04 6.3394439e-01
 9.9709904e-01 9.9876499e-01 9.9888283e-01 3.9801985e-02 9.9814165e-01]"
kashmir,"[2.0077825e-03 4.6451986e-03 9.8969144e-01 2.4566054e-04 6.6064322e-01
 8.2314014e-05 9.9936384e-01 9.8816907e-01 7.7455759e-02 1.9386113e-03
 9.9364817e-01 9.7350192e-01 1.5859783e-02 3.9002812e-01 2.1813810e-03
 8.8451600e-01 4.3717027e-04 5.1526278e-01 3.3026934e-04 7.7711099e-01
 9.9922776e-01 9.8970336e-01 9.9536157e-01 1.4896780e-02 9.8275763e-01]"
cow,"[2.1989048e-03 7.4930519e-02 9.4043308e-01 2.0331144e-04 7.5388932e-01
 1.8731654e-03 9.9868107e-01 8.5937881e-01 5.2408606e-02 3.3432543e-03
 9.8122287e-01 9.5872116e-01 1.2342870e-02 2.6160929e-01 9.3570352e-04
 9.0839779e-01 4.9427152e-04 1.9023556e-01 2.3692846e-05 8.2399529e-01
 9.9949217e-01 9.7053236e-01 9.9805188e-01 1.1471480e-02 9.7522438e-01]"
lynching,"[4.5111775e-04 5.3151488e-02 8.5687542e-01 7.5101852e-05 6.0114396e-01
 4.2712688e-04 9.9414104e-01 8.8455534e-01 2.8232664e-02 5.6998134e-03
 9.6593094e-01 9.4602805e-01 2.7524233e-03 3.7486291e-01 4.6385229e-03
 9.1135061e-01 2.2414327e-03 1.8428093e-01 1.2603402e-04 8.5105896e-01
 9.9136484e-01 9.9130720e-01 9.9412560e-01 6.8631768e-03 9.8030812e-01]"
gang,"[7.5541735e-03 1.4224410e-02 9.9073410e-01 1.6776025e-03 7.8644717e-01
 4.8655272e-04 9.8329210e-01 7.7142668e-01 5.1101714e-02 2.0902663e-02
 9.8615974e-01 9.2137754e-01 6.3900650e-03 2.8884643e-01 1.9055605e-04
 8.4565496e-01 1.3214350e-03 2.9611558e-01 3.7848949e-05 9.1764867e-01
 9.9920833e-01 9.9806905e-01 9.9939466e-01 6.3151896e-02 9.9490714e-01]"
rapes,"[7.2763860e-03 2.4829745e-02 9.8786116e-01 3.5535991e-03 8.2093620e-01
 5.7354569e-04 9.8771405e-01 7.2172260e-01 4.9633145e-02 2.7263820e-02
 9.9098074e-01 9.1100335e-01 3.0895770e-03 2.2020844e-01 2.3064017e-04
 7.7283114e-01 2.6802123e-03 3.7007046e-01 4.8458576e-05 8.0316794e-01
 9.9927533e-01 9.9846172e-01 9.9938548e-01 9.4530046e-02 9.9614143e-01]"
children,"[1.02636218e-03 4.98054326e-02 9.91386473e-01 2.80582905e-03
 7.72758543e-01 1.15036964e-04 9.93556499e-01 9.36745524e-01
 4.62596118e-02 5.82858920e-03 9.96601462e-01 9.72412944e-01
 1.87756419e-02 4.28516328e-01 1.53177977e-03 8.24385047e-01
 4.08181548e-03 4.53017384e-01 9.47356224e-04 6.35315657e-01
 9.95462537e-01 9.96842742e-01 9.99498367e-01 2.09829628e-01
 9.80996788e-01]"
read,"[1.9055605e-04 6.0069561e-04 9.2929375e-01 2.3889542e-04 4.0754184e-01
 1.3104081e-04 9.9234200e-01 9.2529601e-01 2.8993309e-02 9.5751882e-04
 8.4518421e-01 9.2122167e-01 9.8570883e-03 5.0685406e-01 1.0139048e-03
 7.3162258e-01 5.8112144e-03 1.7802623e-01 2.7814507e-04 9.6992075e-01
 9.9156713e-01 9.9300146e-01 9.9535036e-01 1.1727303e-02 9.8227406e-01]"
heard,"[1.2376904e-04 3.4695864e-03 9.9804461e-01 3.0446053e-04 7.2627312e-01
 8.2671642e-05 9.9922168e-01 9.7072768e-01 2.2464770e-01 1.0309041e-02
 9.8732352e-01 9.7215641e-01 3.5655797e-03 7.4166572e-01 2.0132065e-03
 9.1933775e-01 1.9645393e-03 2.4567133e-01 1.6713142e-04 8.0996966e-01
 9.8987448e-01 9.9858665e-01 9.9876845e-01 2.3636401e-02 9.8363227e-01]"
across,"[1.1303723e-03 2.1154732e-02 9.1976452e-01 3.6036968e-04 1.9884565e-01
 5.2541494e-05 9.8303819e-01 8.4295142e-01 9.2318058e-03 3.8802624e-04
 9.8976517e-01 9.8413944e-01 3.5677552e-03 1.0223672e-01 1.2590349e-02
 8.6704743e-01 3.7571788e-04 5.0224453e-01 2.4199486e-05 4.4585541e-01
 9.9955893e-01 9.8518360e-01 9.9897915e-01 4.7027290e-02 9.7630858e-01]"
india,"[5.7332516e-03 1.5840411e-02 9.9390852e-01 2.3098588e-03 5.0943536e-01
 6.3055754e-04 9.9880326e-01 9.8455942e-01 5.0140876e-01 1.5050799e-02
 9.9351770e-01 9.5979023e-01 4.9535036e-02 2.1064621e-01 3.2017529e-03
 9.5878017e-01 1.5079081e-03 3.4783083e-01 4.9209595e-04 8.1556582e-01
 9.9150592e-01 9.6925074e-01 9.9971372e-01 1.7317075e-01 9.8941863e-01]"
friend,"[7.9870224e-05 1.7595083e-02 9.8892850e-01 1.2255609e-03 6.6481459e-01
 8.5830688e-05 9.9587286e-01 8.5680676e-01 1.3749599e-02 8.5222721e-04
 9.6760219e-01 9.8184437e-01 1.2103170e-02 8.5505104e-01 1.8115342e-03
 8.2488000e-01 8.7901950e-04 4.7499719e-01 3.8594007e-05 7.5258631e-01
 9.9791372e-01 9.9103343e-01 9.9973458e-01 3.7194073e-02 9.9579376e-01]"
behind,"[2.0288825e-03 5.1802099e-03 9.6842766e-01 2.1823049e-03 4.8198301e-01
 2.5272369e-04 9.9854040e-01 9.4631404e-01 1.4298987e-01 9.4066560e-03
 9.8238361e-01 9.4999194e-01 7.6972544e-03 4.3746358e-01 5.5215955e-03
 9.7781545e-01 1.1020005e-03 3.4894580e-01 6.3776970e-05 7.7170652e-01
 9.9402845e-01 9.8853403e-01 9.9947178e-01 2.8369725e-02 9.9791217e-01]"
disguise,"[7.5316131e-03 4.1362345e-03 9.1571319e-01 3.2587945e-03 3.3538499e-01
 2.7668476e-04 9.9263787e-01 7.5472337e-01 7.1974307e-02 6.8626702e-03
 9.7454530e-01 9.7232306e-01 3.9412081e-03 4.1063881e-01 1.2429148e-02
 9.8627698e-01 5.2104592e-03 1.4932501e-01 2.2286177e-04 6.2527913e-01
 9.8995525e-01 9.5064390e-01 9.9866438e-01 3.4730643e-02 9.9213248e-01]"
secularism,"[2.54344940e-03 1.38383508e-02 9.37835455e-01 8.60512257e-04
 3.77379656e-01 1.43259764e-04 9.95429873e-01 8.76294553e-01
 5.51690459e-02 5.31390309e-03 9.98708367e-01 9.82215106e-01
 4.11665440e-03 4.76962596e-01 1.99860632e-02 9.87667739e-01
 1.36009455e-02 8.00735354e-02 9.88095999e-04 5.81622958e-01
 9.44433451e-01 9.79881287e-01 9.98786986e-01 4.81570065e-02
 9.66356277e-01]"
arab,"[2.1860003e-04 6.7882538e-03 9.8859811e-01 1.9168854e-04 1.9194809e-01
 1.3530254e-05 9.9618590e-01 9.7833455e-01 5.5048287e-02 1.6706884e-03
 9.8816913e-01 9.8779196e-01 8.1188381e-03 5.3080934e-01 1.5750825e-03
 9.8476005e-01 9.0017915e-04 4.1944864e-01 3.7214160e-04 7.8799844e-01
 9.9155438e-01 9.9879920e-01 9.9822885e-01 1.3817072e-02 9.8009932e-01]"
residents,"[5.0134957e-03 1.5099406e-02 9.3143284e-01 1.4663041e-03 5.3818041e-01
 1.0726750e-03 9.9560285e-01 9.0161896e-01 1.3132423e-02 1.1108220e-03
 9.8497009e-01 9.6908844e-01 2.7717650e-03 5.9148955e-01 9.2211366e-04
 9.6484631e-01 5.7741106e-03 1.8261656e-01 1.2901425e-04 4.7561848e-01
 9.9834502e-01 9.8848438e-01 9.9985027e-01 1.4794597e-01 9.8637003e-01]"
